,codigo_pais,ano,populacao,gdp
587,CYM,2015,60935,4708167232.66893
588,CYM,2016,62274,4909322237.28895
589,CYM,2017,63601,5166281305.12522
590,CYM,2018,64904,5530178440.71376
591,CYM,2019,66152,5941896607.58643
592,CAF,2004,4115146,1272360517.32373
593,CAF,2005,4208845,1337894378.73743
594,CAF,2006,4294352,1461859762.33459
595,CAF,2007,4375582,1699811294.94935
596,CAF,2008,4467237,1993407888.49838
597,CAF,2009,4564544,2067381665.25454
598,CAF,2010,4660066,2142591540.40068
599,CAF,2011,4732037,2437982705.12093
600,CAF,2012,4773306,2510126512.22831
601,CAF,2013,4802437,1691544110.18543
602,CAF,2014,4798739,1894813389.40325
603,CAF,2015,4819341,1695825714.19282
604,CAF,2016,4904182,1825018144.65595
605,CAF,2017,4996741,2072349972.6818
606,CAF,2018,5094795,2220979146.11241
607,CAF,2019,5209329,2221301351.43918
608,TCD,2004,9613509,4422855660.82592
609,TCD,2005,10005013,6649307523.64377
610,TCD,2006,10365620,7428701453.91509
611,TCD,2007,10722738,8650137743.32547
612,TCD,2008,11098672,10393833765.3651
613,TCD,2009,11496138,9290728318.98821
614,TCD,2010,11894734,10668103554.1192
615,TCD,2011,12317729,12172308851.0395
616,TCD,2012,12754912,12367362757.1342
617,TCD,2013,13216769,12953534866.4286
618,TCD,2014,13697128,13940767218.5849
619,TCD,2015,14140277,10950392256.9543
620,TCD,2016,14592587,10097778098.1707
621,TCD,2017,15085893,10000394381.0177
622,TCD,2018,15604213,11239167898.3395
623,TCD,2019,16126868,11314951091.7283
624,CHL,2004,16017966,99075985721.5697
625,CHL,2005,16175315,122294145211.371
626,CHL,2006,16334573,153843518110.852
627,CHL,2007,16495543,172491075948.358
628,CHL,2008,16661463,179894594475.98
629,CHL,2009,16833450,171777900623.177
630,CHL,2010,17004166,217051209240.298
631,CHL,2011,17173568,251382574083.741
632,CHL,2012,17341770,267024782642.389
633,CHL,2013,17509926,277395018674.682
634,CHL,2014,17687108,259560978407.095
635,CHL,2015,17870122,242450355827.827
636,CHL,2016,18083880,249344864067.964
637,CHL,2017,18368582,276154259806.312
638,CHL,2018,18701452,295857562826.427
639,CHL,2019,19039484,278598887622.96
640,CHN,2004,1296816768,1955346768757.64
641,CHN,2005,1304887552,2285961149904.26
642,CHN,2006,1313086592,2752118657221.64
